-50.10686	4.21334
-44.39399	21.93335
-38.65427	66.07479
-32.94303	33.92934
-27.20738	-47.81292
-21.49626	95.00493
-15.79717	-10.01456
-10.06061	37.74157
-4.34437	37.95011
1.38245	371.32822
8.71889	1474.12481
16.29337	1593.82751
22.02385	1618.92506
27.96892	1796.04268
34.33889	1734.95617
40.09272	1770.38991
45.77764	1942.2228
51.47112	1937.99172
57.17886	1948.89709
63.11418	1996.49382
68.83179	1979.97969
74.49115	2026.86855
80.2076	2050.91048
85.93281	2065.35833
91.64399	2097.58019
98.38945	2106.48641
104.10769	2149.31068
109.80238	2139.12527
115.46547	2144.64424
121.15143	2237.38864
126.87065	2148.11015
132.54275	2191.34825
138.23155	2218.71279
143.96354	2209.49664
149.67415	2235.75118
155.37546	2212.94563
161.08806	2238.4366
166.77308	2288.04121
172.49273	2298.59696
178.17145	2262.26494
183.88253	2308.75909
189.59553	2291.78062
195.30686	2296.61061
200.98052	2331.67699
206.6704	2317.67715
212.37761	2298.99711
218.10569	2317.70389
223.79729	2351.18515
229.46315	2291.41374
235.13284	2344.54675
240.85155	2373.71482
246.55629	2385.44678
252.21648	2387.34624
257.91425	2399.5076
263.5814	2382.36473
269.28572	2338.96809
274.86704	2356.14664
280.2645	2359.43837
285.69306	2386.64621
291.09721	2404.41499
296.5687	2370.78449
302.08328	2369.74852
